N,P,K,temperature,humidity,ph,label
76,48,23,24.50,66.00,6.60,maize
82,54,20,21.00,63.80,6.20,maize
68,37,29,26.50,68.50,5.90,maize
83,41,25,23.20,65.00,6.70,maize
75,52,22,24.80,66.50,6.10,maize
80,44,27,22.80,65.20,6.50,maize
71,49,24,25.00,67.00,6.30,maize
11,53,6,25.59,57.92,6.79,chickpea
16,65,7,28.60,55.80,6.54,chickpea
22,60,8,27.30,56.40,7.04,chickpea
18,58,10,26.80,58.20,6.32,chickpea
15,62,5,29.00,55.00,7.10,chickpea
20,55,9,27.50,57.50,6.50,chickpea
13,64,7,28.20,56.80,6.90,chickpea
19,59,6,26.50,58.50,7.20,chickpea
14,61,8,29.50,54.50,6.40,chickpea
17,56,10,27.00,57.00,6.70,chickpea
21,63,5,28.80,55.50,6.30,chickpea
12,57,9,26.00,58.80,7.00,chickpea
16,60,7,29.20,56.00,6.60,chickpea
23,54,6,27.80,57.80,6.80,chickpea
10,66,8,28.50,55.20,7.10,chickpea
18,62,10,26.20,58.00,6.20,chickpea
14,58,5,29.80,54.80,6.90,chickpea
20,55,9,27.20,57.20,6.50,chickpea
12,63,7,28.00,56.50,7.00,chickpea
17,60,8,26.80,58.30,6.40,chickpea
15,57,6,29.50,55.50,6.70,chickpea
19,64,10,27.50,56.80,6.80,chickpea
11,59,5,28.20,57.50,7.20,chickpea
22,56,9,26.50,58.00,6.30,chickpea
13,61,7,29.00,55.00,6.60,chickpea
16,65,8,27.00,57.00,6.90,chickpea
21,53,6,28.80,56.20,7.00,chickpea
14,58,10,26.20,58.50,6.40,chickpea
18,60,5,29.20,54.50,6.50,chickpea
20,62,9,27.80,57.80,6.70,chickpea
15,55,7,28.50,56.00,7.10,chickpea
36,60,30,24.44,64.29,6.92,kidneybeans
38,62,28,23.80,65.00,6.80,kidneybeans
34,58,32,25.00,63.50,7.00,kidneybeans
40,64,27,24.00,64.80,6.60,kidneybeans
32,56,34,25.50,62.80,7.10,kidneybeans
37,61,29,23.50,65.50,6.70,kidneybeans
35,59,31,24.80,63.00,6.90,kidneybeans
39,63,26,24.20,65.20,7.20,kidneybeans
33,57,33,25.20,63.80,6.50,kidneybeans
41,65,28,23.00,66.00,6.80,kidneybeans
36,60,30,24.50,64.00,7.00,kidneybeans
38,62,27,24.80,64.50,6.60,kidneybeans
34,58,32,25.00,63.20,7.10,kidneybeans
40,64,29,23.20,65.80,6.70,kidneybeans
32,56,34,25.80,62.50,6.90,kidneybeans
37,61,26,24.00,64.00,7.20,kidneybeans
35,59,31,23.50,65.00,6.50,kidneybeans
39,63,28,25.20,63.50,6.80,kidneybeans
33,57,33,24.50,63.80,7.00,kidneybeans
41,65,30,23.80,65.50,6.60,kidneybeans
36,60,27,25.50,62.80,7.10,kidneybeans
38,62,32,24.20,64.20,6.70,kidneybeans
34,58,29,23.00,65.80,6.90,kidneybeans
40,64,34,25.00,63.00,7.20,kidneybeans
32,56,26,24.80,64.50,6.50,kidneybeans
37,61,31,23.50,65.20,6.80,kidneybeans
35,59,28,25.20,63.50,7.00,kidneybeans
39,63,33,24.00,64.80,6.60,kidneybeans
33,57,30,24.50,63.00,7.10,kidneybeans
41,65,27,23.80,66.00,6.70,kidneybeans
20,27,30,22.89,92.19,6.50,pigeonpeas
22,30,28,24.00,90.50,6.70,pigeonpeas
18,25,32,23.50,91.00,6.30,pigeonpeas
24,28,27,21.80,93.00,6.80,pigeonpeas
21,32,31,23.00,91.50,6.40,pigeonpeas
19,26,29,24.50,90.00,6.60,pigeonpeas
23,29,33,22.00,92.50,6.90,pigeonpeas
17,24,28,23.80,91.80,6.20,pigeonpeas
25,31,30,21.50,93.50,7.00,pigeonpeas
20,27,34,24.20,90.20,6.50,pigeonpeas
22,33,27,22.50,92.00,6.70,pigeonpeas
18,25,31,23.00,91.50,6.30,pigeonpeas
24,28,29,24.00,90.80,6.80,pigeonpeas
16,26,32,22.80,93.20,6.40,pigeonpeas
21,30,28,23.50,91.00,6.60,pigeonpeas
23,34,30,21.00,92.80,6.90,pigeonpeas
19,27,33,24.50,90.50,6.20,pigeonpeas
25,29,27,22.20,92.50,7.00,pigeonpeas
17,25,31,23.80,91.80,6.50,pigeonpeas
20,32,29,24.00,90.00,6.70,pigeonpeas
22,28,34,21.80,93.00,6.30,pigeonpeas
18,26,28,23.50,91.50,6.80,pigeonpeas
24,30,32,22.00,92.00,6.40,pigeonpeas
16,33,27,24.20,90.20,6.60,pigeonpeas
21,27,30,23.00,91.80,6.90,pigeonpeas
23,25,31,22.50,93.50,6.20,pigeonpeas
19,29,29,24.50,90.80,7.00,pigeonpeas
25,31,33,21.50,92.00,6.50,pigeonpeas
17,28,28,23.80,91.00,6.70,pigeonpeas
20,26,30,24.00,90.50,6.30,pigeonpeas
0,35,20,28.69,84.77,7.07,mothbeans
5,30,22,29.50,83.50,6.80,mothbeans
3,38,18,27.80,85.50,7.20,mothbeans
8,32,24,30.00,82.80,6.60,mothbeans
2,36,19,28.20,85.00,7.00,mothbeans
6,34,21,29.00,84.00,7.30,mothbeans
4,37,23,28.50,84.50,6.50,mothbeans
1,31,17,30.50,82.50,7.10,mothbeans
7,33,25,27.50,86.00,6.70,mothbeans
9,39,20,29.80,83.00,6.90,mothbeans
0,35,22,28.00,85.20,7.20,mothbeans
5,30,18,29.20,83.80,6.80,mothbeans
3,38,24,30.00,82.00,7.00,mothbeans
8,32,19,28.50,85.00,6.60,mothbeans
2,36,21,27.80,84.50,7.30,mothbeans
6,34,23,29.50,83.50,6.50,mothbeans
4,37,17,28.20,85.50,7.10,mothbeans
1,31,25,30.50,82.80,6.70,mothbeans
7,33,20,27.50,86.00,6.90,mothbeans
9,39,22,29.00,83.00,7.20,mothbeans
0,35,18,28.80,84.80,6.80,mothbeans
5,30,24,29.50,83.50,7.00,mothbeans
3,38,19,30.20,82.20,6.60,mothbeans
8,32,21,28.00,85.20,7.30,mothbeans
2,36,23,27.80,84.50,6.50,mothbeans
6,34,17,29.20,83.80,7.10,mothbeans
4,37,25,28.50,85.00,6.70,mothbeans
1,31,20,30.00,82.50,6.90,mothbeans
7,33,22,27.50,86.00,7.20,mothbeans
9,39,18,29.80,83.00,6.80,mothbeans
21,67,48,27.41,48.06,7.07,mungbean
18,70,45,28.00,47.00,6.80,mungbean
24,64,50,26.80,49.00,7.20,mungbean
20,72,43,27.80,46.50,6.60,mungbean
22,65,47,28.50,48.50,7.00,mungbean
17,69,51,27.00,47.50,6.90,mungbean
25,63,44,26.50,49.50,7.10,mungbean
19,71,48,28.20,46.80,6.50,mungbean
23,66,46,27.50,48.00,7.30,mungbean
16,68,52,28.80,47.20,6.70,mungbean
21,73,43,26.80,49.00,7.00,mungbean
18,64,49,27.80,46.50,6.80,mungbean
24,70,45,28.50,48.50,6.60,mungbean
20,67,51,27.00,47.00,7.20,mungbean
22,62,44,26.50,49.80,6.90,mungbean
17,71,48,28.20,46.80,7.10,mungbean
25,65,46,27.50,48.00,6.50,mungbean
19,69,52,28.80,47.50,7.30,mungbean
23,63,43,26.80,49.00,6.70,mungbean
16,72,49,27.80,46.00,7.00,mungbean
21,66,45,28.50,48.80,6.80,mungbean
18,68,51,27.00,47.20,6.60,mungbean
24,70,44,26.50,49.50,7.20,mungbean
20,64,48,28.20,46.50,6.90,mungbean
22,71,46,27.50,48.00,7.10,mungbean
17,67,52,28.80,47.80,6.50,mungbean
25,63,43,26.80,49.00,7.30,mungbean
19,69,49,27.80,46.00,6.70,mungbean
23,65,45,28.50,48.50,7.00,mungbean
16,72,51,27.00,47.00,6.80,mungbean
15,68,20,28.18,54.95,5.72,blackgram
18,65,22,29.00,53.50,5.90,blackgram
12,70,18,27.50,56.00,5.50,blackgram
20,63,24,28.80,54.00,6.00,blackgram
14,67,19,27.80,55.50,5.80,blackgram
17,72,21,29.50,53.00,5.60,blackgram
11,64,23,28.00,56.50,6.10,blackgram
19,69,17,28.50,54.50,5.40,blackgram
13,66,25,27.00,55.00,5.90,blackgram
21,71,20,29.20,52.80,5.70,blackgram
16,62,22,28.20,55.80,5.50,blackgram
10,68,18,27.80,56.20,6.00,blackgram
22,65,24,29.00,53.50,5.80,blackgram
14,70,19,28.50,54.00,5.60,blackgram
18,63,21,27.50,56.00,6.10,blackgram
12,67,23,29.50,53.00,5.40,blackgram
20,72,17,28.00,55.50,5.90,blackgram
15,64,25,28.80,54.50,5.70,blackgram
17,69,20,27.00,56.50,5.50,blackgram
11,66,22,29.20,53.80,6.00,blackgram
13,71,18,28.20,55.00,5.80,blackgram
19,62,24,27.80,56.20,5.60,blackgram
21,68,19,29.00,53.50,6.10,blackgram
16,65,21,28.50,54.80,5.40,blackgram
10,70,23,27.50,55.50,5.90,blackgram
22,63,17,29.50,53.00,5.70,blackgram
14,67,25,28.00,56.00,5.50,blackgram
18,72,20,28.80,54.00,6.00,blackgram
12,64,22,27.00,56.50,5.80,blackgram
20,69,18,29.20,53.80,5.60,blackgram
36,68,20,29.98,94.92,6.20,lentil
38,65,22,30.50,93.50,6.40,lentil
34,70,18,29.50,95.50,6.00,lentil
40,63,24,31.00,93.00,6.60,lentil
32,67,19,29.80,95.00,6.10,lentil
37,72,21,30.20,94.00,6.30,lentil
35,64,23,29.00,96.00,6.50,lentil
39,69,17,31.50,92.50,5.90,lentil
33,66,25,29.50,94.50,6.20,lentil
41,71,20,30.80,93.80,6.00,lentil
36,62,22,29.80,95.20,6.40,lentil
38,68,18,30.50,93.50,6.60,lentil
34,65,24,29.00,96.00,6.10,lentil
40,70,19,31.00,93.00,6.30,lentil
32,63,21,29.50,95.50,6.50,lentil
37,67,23,30.20,94.00,5.90,lentil
35,72,17,29.80,94.50,6.20,lentil
39,64,25,31.50,92.50,6.00,lentil
33,69,20,29.00,96.00,6.40,lentil
41,66,22,30.80,93.80,6.60,lentil
36,71,18,29.50,95.00,6.10,lentil
38,62,24,30.50,93.50,6.30,lentil
34,68,19,29.80,95.50,6.50,lentil
40,65,21,31.00,93.00,5.90,lentil
32,70,23,29.00,96.00,6.20,lentil
37,63,17,30.20,94.00,6.00,lentil
35,67,25,29.50,95.00,6.40,lentil
39,72,20,31.50,92.50,6.60,lentil
33,64,22,29.80,94.50,6.10,lentil
41,69,18,30.80,93.80,6.30,lentil
100,18,30,27.38,52.26,5.94,pomegranate
95,20,28,28.00,51.00,6.10,pomegranate
105,15,32,26.80,53.50,5.80,pomegranate
98,22,27,27.80,50.50,6.20,pomegranate
102,17,31,28.50,52.80,5.70,pomegranate
97,21,29,27.00,51.50,6.00,pomegranate
103,16,33,26.50,53.00,6.30,pomegranate
96,23,26,28.20,50.00,5.60,pomegranate
104,14,30,27.50,52.50,5.90,pomegranate
99,19,34,28.80,51.80,6.10,pomegranate
101,20,28,27.00,53.00,5.80,pomegranate
95,22,32,28.50,50.50,6.20,pomegranate
105,17,27,26.80,52.80,5.70,pomegranate
98,15,31,27.80,51.50,6.00,pomegranate
102,21,29,28.00,52.00,6.30,pomegranate
97,23,33,27.50,50.80,5.60,pomegranate
103,16,26,26.50,53.50,5.90,pomegranate
96,14,30,28.20,51.00,6.10,pomegranate
104,19,34,27.00,52.50,5.80,pomegranate
99,18,28,28.80,50.20,6.20,pomegranate
101,22,32,27.50,53.00,5.70,pomegranate
95,17,27,28.00,51.80,6.00,pomegranate
105,21,31,26.80,52.80,6.30,pomegranate
98,15,29,27.80,50.50,5.60,pomegranate
102,23,33,28.50,52.00,5.90,pomegranate
97,16,26,27.00,53.50,6.10,pomegranate
103,14,30,26.50,51.00,5.80,pomegranate
96,19,34,28.20,52.50,6.20,pomegranate
104,18,28,27.50,50.80,5.70,pomegranate
99,20,32,28.80,53.00,6.00,pomegranate
20,130,200,28.01,64.78,5.63,banana
22,125,195,27.50,66.00,5.80,banana
18,135,205,28.50,63.50,5.50,banana
24,128,198,29.00,65.00,5.70,banana
16,132,202,27.80,64.00,5.90,banana
21,126,193,28.20,66.50,5.40,banana
19,134,207,28.80,63.00,5.60,banana
25,129,196,27.00,65.50,5.80,banana
17,131,201,29.50,64.50,5.50,banana
23,127,194,28.00,66.00,5.70,banana
20,133,203,27.50,63.50,5.90,banana
22,130,197,28.50,65.00,5.40,banana
18,136,206,29.00,64.00,5.60,banana
24,124,192,27.80,66.50,5.80,banana
16,132,200,28.20,63.00,5.50,banana
21,128,204,28.80,65.50,5.70,banana
19,135,195,27.00,64.50,5.90,banana
25,131,208,29.50,66.00,5.40,banana
17,126,199,28.00,63.50,5.60,banana
23,134,193,27.50,65.00,5.80,banana
20,129,205,28.50,64.00,5.50,banana
22,133,196,29.00,66.50,5.70,banana
18,127,201,27.80,63.00,5.90,banana
24,135,194,28.20,65.50,5.40,banana
16,130,207,28.80,64.50,5.60,banana
21,126,198,27.00,66.00,5.80,banana
19,132,202,29.50,63.50,5.50,banana
25,128,195,28.00,65.00,5.70,banana
17,134,200,27.50,64.00,5.90,banana
23,131,204,28.50,66.50,5.40,banana
100,82,50,24.97,71.65,5.99,mango
95,85,48,25.50,70.00,6.20,mango
105,78,52,24.50,72.50,5.80,mango
98,88,46,25.80,69.50,6.10,mango
102,80,54,24.00,73.00,5.70,mango
97,83,49,25.20,71.00,6.30,mango
103,76,51,24.80,72.00,5.90,mango
96,86,47,25.50,70.50,6.00,mango
104,81,53,24.20,72.80,6.20,mango
99,84,55,25.80,69.80,5.60,mango
101,79,48,24.50,71.50,6.10,mango
95,87,50,25.00,70.20,5.80,mango
105,82,52,24.80,73.00,6.30,mango
98,77,46,25.50,71.00,5.90,mango
102,85,54,24.00,70.00,6.00,mango
97,80,49,25.20,72.50,6.20,mango
103,83,51,24.50,71.80,5.60,mango
96,88,47,25.80,69.50,6.10,mango
104,76,53,24.20,73.50,5.80,mango
99,86,55,25.00,70.00,6.30,mango
101,81,48,24.80,72.00,5.90,mango
95,84,50,25.50,71.50,6.00,mango
105,79,52,24.00,70.20,6.20,mango
98,87,46,25.20,69.80,5.60,mango
102,82,54,24.50,73.00,6.10,mango
97,77,49,25.80,71.00,5.80,mango
103,85,51,24.00,70.50,6.30,mango
96,80,47,25.20,72.50,5.90,mango
104,83,53,24.80,71.00,6.00,mango
99,88,55,25.50,70.00,6.20,mango
40,67,50,35.08,33.14,6.97,grapes
38,70,48,34.50,34.00,7.10,grapes
42,64,52,35.50,32.50,6.80,grapes
36,72,46,34.00,34.50,7.20,grapes
44,65,54,36.00,32.00,6.70,grapes
39,68,49,35.20,33.50,7.00,grapes
41,63,51,34.80,33.00,6.90,grapes
37,71,47,35.80,32.80,7.10,grapes
43,66,53,34.00,34.20,6.80,grapes
35,73,45,36.50,31.50,7.20,grapes
40,69,50,35.50,33.00,6.70,grapes
38,64,48,34.50,34.00,7.00,grapes
42,72,52,35.00,32.50,6.90,grapes
36,67,46,35.80,33.50,7.10,grapes
44,63,54,34.20,34.50,6.80,grapes
39,70,49,36.00,32.00,7.20,grapes
41,65,51,34.50,33.00,6.70,grapes
37,68,47,35.20,32.80,7.00,grapes
43,71,53,35.80,34.00,6.90,grapes
35,66,45,34.00,33.50,7.10,grapes
40,73,50,36.50,32.50,6.80,grapes
38,67,48,35.00,34.00,7.20,grapes
42,64,52,34.50,33.00,6.70,grapes
36,70,46,35.50,32.00,7.00,grapes
44,68,54,34.00,34.50,6.90,grapes
39,72,49,36.00,33.00,7.10,grapes
41,65,51,35.20,33.50,6.80,grapes
37,63,47,34.80,34.20,7.20,grapes
43,69,53,35.80,32.80,6.70,grapes
35,71,45,34.00,33.00,7.00,grapes
60,55,50,24.64,94.12,6.78,watermelon
58,58,48,25.00,93.00,6.90,watermelon
62,52,52,24.00,95.00,6.60,watermelon
56,60,46,25.50,92.50,7.00,watermelon
64,54,54,23.50,95.50,6.50,watermelon
59,57,49,24.80,93.50,6.80,watermelon
61,51,51,24.20,94.50,7.10,watermelon
57,59,47,25.20,92.80,6.40,watermelon
63,53,53,23.80,95.20,6.70,watermelon
55,61,45,25.80,92.00,6.90,watermelon
60,56,50,24.50,94.00,7.00,watermelon
58,52,48,25.00,93.50,6.60,watermelon
62,60,52,24.00,95.00,6.80,watermelon
56,54,46,25.50,92.50,7.10,watermelon
64,58,54,23.50,95.50,6.50,watermelon
59,51,49,24.80,93.00,6.40,watermelon
61,57,51,24.20,94.50,6.70,watermelon
57,53,47,25.20,92.80,6.90,watermelon
63,59,53,23.80,95.20,7.00,watermelon
55,55,45,25.80,92.00,6.60,watermelon
60,61,50,24.50,94.00,6.80,watermelon
58,52,48,25.00,93.50,7.10,watermelon
62,56,52,24.00,95.00,6.50,watermelon
56,60,46,25.50,92.50,6.40,watermelon
64,54,54,23.50,95.50,6.70,watermelon
59,58,49,24.80,93.00,6.90,watermelon
61,51,51,24.20,94.50,7.00,watermelon
57,57,47,25.20,92.80,6.60,watermelon
63,53,53,23.80,95.20,6.80,watermelon
55,59,45,25.80,92.00,7.10,watermelon
100,80,50,26.54,52.34,6.41,muskmelon
95,82,48,27.00,51.00,6.60,muskmelon
105,78,52,26.00,53.50,6.20,muskmelon
98,84,46,26.80,50.50,6.50,muskmelon
102,76,54,27.50,52.80,6.70,muskmelon
97,81,49,26.20,51.50,6.30,muskmelon
103,83,51,26.50,53.00,6.80,muskmelon
96,79,47,27.20,50.00,6.10,muskmelon
104,85,53,26.80,52.50,6.40,muskmelon
99,77,55,27.80,51.80,6.60,muskmelon
101,82,48,26.00,53.00,6.20,muskmelon
95,80,50,27.00,51.50,6.50,muskmelon
105,84,52,26.50,52.80,6.70,muskmelon
98,76,46,26.80,50.00,6.30,muskmelon
102,81,54,27.50,53.50,6.80,muskmelon
97,83,49,26.20,51.00,6.10,muskmelon
103,79,51,26.50,52.00,6.40,muskmelon
96,85,47,27.20,50.50,6.60,muskmelon
104,77,53,26.80,53.00,6.20,muskmelon
99,82,55,27.80,51.80,6.50,muskmelon
101,80,48,26.00,52.50,6.70,muskmelon
95,84,50,27.00,50.00,6.30,muskmelon
105,76,52,26.50,53.50,6.80,muskmelon
98,81,46,26.80,51.00,6.10,muskmelon
102,83,54,27.50,52.80,6.40,muskmelon
97,79,49,26.20,50.50,6.60,muskmelon
103,85,51,26.50,53.00,6.20,muskmelon
96,77,47,27.20,51.80,6.50,muskmelon
104,82,53,26.80,52.50,6.70,muskmelon
99,80,55,27.80,50.00,6.30,muskmelon
120,19,30,27.12,58.87,6.60,apple
115,22,28,27.50,57.50,6.80,apple
125,17,32,26.80,60.00,6.40,apple
118,24,27,27.80,57.00,6.70,apple
122,16,31,28.00,59.50,6.50,apple
117,21,29,27.20,58.00,6.90,apple
123,18,33,26.50,60.50,6.30,apple
116,23,26,28.20,57.50,6.60,apple
124,15,30,27.00,59.00,6.80,apple
119,20,34,27.80,58.50,6.40,apple
121,22,28,27.50,57.00,6.70,apple
115,17,32,28.00,60.00,6.50,apple
125,24,27,26.80,57.50,6.90,apple
118,16,31,27.20,59.50,6.30,apple
122,21,29,28.20,58.00,6.60,apple
117,18,33,27.50,60.50,6.80,apple
123,23,26,26.50,57.00,6.40,apple
116,15,30,28.00,59.00,6.70,apple
124,20,34,27.00,58.50,6.50,apple
119,22,28,27.80,57.50,6.90,apple
121,17,32,27.50,60.00,6.30,apple
115,24,27,28.00,57.00,6.60,apple
125,16,31,26.80,59.50,6.80,apple
118,21,29,27.20,58.00,6.40,apple
122,18,33,28.20,60.50,6.70,apple
117,23,26,27.50,57.50,6.50,apple
123,15,30,26.50,59.00,6.90,apple
116,20,34,28.00,58.50,6.30,apple
124,22,28,27.00,57.00,6.60,apple
119,17,32,27.80,60.00,6.80,apple
40,70,10,28.41,54.04,6.08,orange
38,72,8,29.00,53.00,6.20,orange
42,68,12,27.80,55.00,5.90,orange
36,74,7,28.80,52.50,6.30,orange
44,67,14,27.50,55.50,5.80,orange
39,71,9,28.20,53.50,6.10,orange
41,69,11,28.50,54.50,6.40,orange
37,73,13,27.00,52.00,5.70,orange
43,66,8,29.50,55.80,6.20,orange
35,75,15,28.80,53.00,5.90,orange
40,70,10,28.00,54.00,6.00,orange
38,72,12,29.00,53.50,6.30,orange
42,68,7,27.80,55.00,5.80,orange
36,74,14,28.50,52.50,6.10,orange
44,67,9,27.50,55.50,6.40,orange
39,71,11,28.20,53.00,5.70,orange
41,69,13,28.80,54.50,6.20,orange
37,73,8,27.00,52.00,5.90,orange
43,66,15,29.50,55.80,6.00,orange
35,75,10,28.00,53.00,6.30,orange
40,70,12,28.50,54.00,5.80,orange
38,72,7,29.00,53.50,6.10,orange
42,68,14,27.80,55.00,6.40,orange
36,74,9,28.20,52.50,5.70,orange
44,67,11,27.50,55.50,6.20,orange
39,71,13,28.80,53.00,5.90,orange
41,69,8,27.00,54.50,6.00,orange
37,73,15,29.50,52.00,6.30,orange
43,66,10,28.00,55.80,5.80,orange
35,75,12,28.50,53.00,6.10,orange
80,14,40,25.08,64.46,6.00,papaya
78,16,38,25.50,63.00,6.20,papaya
82,12,42,24.50,65.50,5.80,papaya
76,18,36,26.00,62.50,6.10,papaya
84,10,44,24.00,66.00,5.70,papaya
79,15,39,25.20,63.50,6.30,papaya
81,13,41,25.00,65.00,5.90,papaya
77,17,37,25.80,62.00,6.00,papaya
83,11,43,24.50,66.50,6.20,papaya
75,19,35,26.20,62.80,5.60,papaya
80,14,40,25.00,64.00,6.10,papaya
78,16,38,25.50,63.50,5.80,papaya
82,12,42,24.80,65.00,6.30,papaya
76,18,36,26.00,62.50,5.90,papaya
84,10,44,24.00,66.00,6.00,papaya
79,15,39,25.20,63.00,6.20,papaya
81,13,41,25.00,65.50,5.60,papaya
77,17,37,25.80,62.00,6.10,papaya
83,11,43,24.50,66.50,5.80,papaya
75,19,35,26.20,62.80,6.30,papaya
80,14,40,25.00,64.50,5.90,papaya
78,16,38,25.50,63.00,6.00,papaya
82,12,42,24.80,65.00,6.20,papaya
76,18,36,26.00,62.50,5.60,papaya
84,10,44,24.00,66.00,6.10,papaya
79,15,39,25.20,63.50,5.80,papaya
81,13,41,25.00,65.50,6.30,papaya
77,17,37,25.80,62.00,5.90,papaya
83,11,43,24.50,66.50,6.00,papaya
75,19,35,26.20,62.80,6.20,papaya
60,55,30,23.42,92.14,6.24,coconut
58,58,28,24.00,91.00,6.40,coconut
62,52,32,22.80,93.50,6.10,coconut
56,60,26,24.50,90.50,6.50,coconut
64,54,34,22.50,94.00,6.00,coconut
59,57,29,23.80,91.50,6.30,coconut
61,51,31,23.00,93.00,6.60,coconut
57,59,27,24.20,90.00,5.90,coconut
63,53,33,22.80,94.50,6.20,coconut
55,61,25,24.80,90.80,6.40,coconut
60,56,30,23.50,92.00,6.50,coconut
58,52,28,24.00,91.50,6.10,coconut
62,60,32,22.80,93.50,6.30,coconut
56,54,26,24.50,90.50,6.60,coconut
64,58,34,22.50,94.00,5.90,coconut
59,51,29,23.80,91.00,6.20,coconut
61,57,31,23.00,93.00,6.40,coconut
57,53,27,24.20,90.00,6.50,coconut
63,59,33,22.80,94.50,6.10,coconut
55,55,25,24.80,90.80,6.30,coconut
60,61,30,23.50,92.00,6.60,coconut
58,52,28,24.00,91.50,5.90,coconut
62,56,32,22.80,93.50,6.20,coconut
56,60,26,24.50,90.50,6.40,coconut
64,54,34,22.50,94.00,6.50,coconut
59,58,29,23.80,91.00,6.10,coconut
61,51,31,23.00,93.00,6.30,coconut
57,57,27,24.20,90.00,6.60,coconut
63,53,33,22.80,94.50,5.90,coconut
55,59,25,24.80,90.80,6.20,coconut
118,38,200,27.27,60.79,5.31,cotton
115,40,195,28.00,59.50,5.50,cotton
120,35,205,26.80,62.00,5.20,cotton
112,42,198,27.80,58.80,5.40,cotton
122,36,202,28.50,61.50,5.60,cotton
116,39,193,27.00,59.00,5.10,cotton
121,37,207,26.50,62.50,5.30,cotton
114,41,196,28.20,60.00,5.50,cotton
123,34,201,27.50,61.00,5.70,cotton
117,43,194,28.80,58.50,5.00,cotton
119,38,200,27.00,60.50,5.40,cotton
115,40,203,28.00,59.50,5.20,cotton
120,36,197,26.80,62.00,5.60,cotton
112,42,206,27.80,58.80,5.10,cotton
122,39,192,28.50,61.50,5.30,cotton
116,37,199,27.00,59.00,5.50,cotton
121,35,204,26.50,62.50,5.70,cotton
114,41,195,28.20,60.00,5.00,cotton
123,43,201,27.50,61.00,5.40,cotton
117,34,198,28.80,58.50,5.20,cotton
119,40,202,27.00,60.50,5.60,cotton
115,36,193,28.00,59.50,5.10,cotton
120,42,207,26.80,62.00,5.30,cotton
112,39,196,27.80,58.80,5.50,cotton
122,37,200,28.50,61.50,5.70,cotton
116,41,194,27.00,59.00,5.00,cotton
121,38,203,26.50,62.50,5.40,cotton
114,35,197,28.20,60.00,5.20,cotton
123,43,206,27.50,61.00,5.60,cotton
117,40,192,28.80,58.50,5.10,cotton
50,40,50,23.71,72.03,5.79,jute
48,42,48,24.00,71.00,5.90,jute
52,38,52,23.50,73.00,5.60,jute
46,44,46,24.50,70.50,6.00,jute
54,36,54,23.00,73.50,5.50,jute
49,41,49,23.80,71.50,5.80,jute
51,39,51,23.20,72.50,6.10,jute
47,43,47,24.20,70.00,5.40,jute
53,37,53,23.50,74.00,5.70,jute
45,45,45,24.80,70.80,5.90,jute
50,40,50,23.00,72.00,6.00,jute
48,42,48,24.00,71.00,5.60,jute
52,38,52,23.50,73.00,5.80,jute
46,44,46,24.50,70.50,6.10,jute
54,36,54,23.00,73.50,5.40,jute
49,41,49,23.80,71.50,5.70,jute
51,39,51,23.20,72.50,5.90,jute
47,43,47,24.20,70.00,6.00,jute
53,37,53,23.50,74.00,5.60,jute
