=== MODEL OVERVIEW ===
Parameter,Value
Algorithm,Random Forest Classifier
Number of Trees (n_estimators),100
Max Depth,None (unlimited)
Min Samples Split,2
Min Samples Leaf,1
Random State,42
Total Dataset Size,721
Training Samples (80%),576
Testing Samples (20%),145
Number of Crop Classes,24
Crop Classes,"apple, banana, blackgram, chickpea, coconut, coffee, cotton, grapes, jute, kidneybeans, lentil, maize, mango, mothbeans, mungbean, muskmelon, orange, papaya, pigeonpeas, pomegranate, rice, sugarcane, watermelon, wheat"
Overall Accuracy,100.00%
Macro Avg Precision,100.00%
Macro Avg Recall,100.00%
Macro Avg F1-Score,100.00%

=== FEATURE IMPORTANCES ===
Rank,Feature,Importance Score,Importance %
1,N,0.2324,23.24%
2,humidity,0.2238,22.38%
3,K,0.1894,18.94%
4,P,0.1721,17.21%
5,temperature,0.1057,10.57%
6,ph,0.0766,7.66%

=== PER-CLASS ACCURACY METRICS ===
Crop,Precision,Recall,F1-Score,Test Samples,Result
apple,1.0000,1.0000,1.0000,5,PASS
banana,1.0000,1.0000,1.0000,5,PASS
blackgram,1.0000,1.0000,1.0000,10,PASS
chickpea,1.0000,1.0000,1.0000,14,PASS
coconut,1.0000,1.0000,1.0000,4,PASS
coffee,1.0000,1.0000,1.0000,4,PASS
cotton,1.0000,1.0000,1.0000,6,PASS
grapes,1.0000,1.0000,1.0000,3,PASS
jute,1.0000,1.0000,1.0000,4,PASS
kidneybeans,1.0000,1.0000,1.0000,5,PASS
lentil,1.0000,1.0000,1.0000,7,PASS
maize,1.0000,1.0000,1.0000,8,PASS
mango,1.0000,1.0000,1.0000,10,PASS
mothbeans,1.0000,1.0000,1.0000,5,PASS
mungbean,1.0000,1.0000,1.0000,5,PASS
muskmelon,1.0000,1.0000,1.0000,6,PASS
orange,1.0000,1.0000,1.0000,3,PASS
papaya,1.0000,1.0000,1.0000,7,PASS
pigeonpeas,1.0000,1.0000,1.0000,5,PASS
pomegranate,1.0000,1.0000,1.0000,4,PASS
rice,1.0000,1.0000,1.0000,4,PASS
sugarcane,1.0000,1.0000,1.0000,9,PASS
watermelon,1.0000,1.0000,1.0000,7,PASS
wheat,1.0000,1.0000,1.0000,5,PASS

=== TEST SET RUN-THROUGH RESULTS ===
Sample#,N,P,K,Temperature,Humidity,pH,Actual Crop,Predicted Crop,Confidence %,Match
133,57,59,47,25.2,92.8,6.4,watermelon,watermelon,99.0,YES
134,120,42,207,26.8,62.0,5.3,cotton,cotton,100.0,YES
135,61,57,31,23.0,93.0,6.4,coconut,coconut,99.0,YES
136,21,30,28,23.5,91.0,6.6,pigeonpeas,pigeonpeas,100.0,YES
137,125,17,32,26.8,60.0,6.4,apple,apple,99.0,YES
138,16,65,21,28.5,54.8,5.4,blackgram,blackgram,100.0,YES
139,21,126,198,27.0,66.0,5.8,banana,banana,100.0,YES
140,77,17,37,25.8,62.0,6.1,papaya,papaya,98.0,YES
141,97,81,49,26.2,51.5,6.3,muskmelon,muskmelon,99.0,YES
142,23,34,30,21.0,92.8,6.9,pigeonpeas,pigeonpeas,97.0,YES
143,32,70,23,29.0,96.0,6.2,lentil,lentil,100.0,YES
144,69,55,38,22.7,82.6,5.7,rice,rice,90.0,YES
145,124,20,34,27.0,58.5,6.5,apple,apple,99.0,YES

=== TEST SUMMARY ===
Total Test Samples,145
Correct Predictions,145
Incorrect Predictions,0
Accuracy,100.00%
Model Status,PASSED

=== TRAINING CODE (train_model.py) ===
Line#,Code
1,import pandas as pd
2,import numpy as np
3,from sklearn.model_selection import train_test_split
4,from sklearn.ensemble import RandomForestClassifier
5,from sklearn.preprocessing import LabelEncoder
6,"from sklearn.metrics import classification_report, accuracy_score"
7,import joblib
8,
9,# Step 1: Load the dataset
10,df = pd.read_csv('dataset.csv')
11,
12,# Step 2: Define features (input) and labels (output)
13,"feature_cols = ['N', 'P', 'K', 'temperature', 'humidity', 'ph']"
14,X = df[feature_cols].values    # 6 soil parameters as input
15,y = df['label'].values          # crop name as output
16,
17,# Step 3: Encode crop labels (text -> numbers)
18,le = LabelEncoder()
19,y_encoded = le.fit_transform(y)
20,
21,# Step 4: Split data into 80% training and 20% testing
22,"X_train, X_test, y_train, y_test = train_test_split("
23,"    X, y_encoded, test_size=0.2, random_state=42, stratify=y_encoded"
24,)
25,
26,# Step 5: Create and train the Random Forest model
27,model = RandomForestClassifier(
28,"    n_estimators=100,       # 100 decision trees"
29,"    max_depth=None,         # trees grow until pure"
30,"    min_samples_split=2,    # min samples to split a node"
31,"    min_samples_leaf=1,     # min samples in a leaf"
32,"    random_state=42,        # reproducible results"
33,"    n_jobs=-1,              # use all CPU cores"
34,)
35,"model.fit(X_train, y_train)    # Train the model"
36,
37,# Step 6: Test the model on unseen data
38,y_pred = model.predict(X_test)
39,"accuracy = accuracy_score(y_test, y_pred)"
40,print(f'Model Accuracy: {accuracy * 100:.2f}%')
41,
42,# Step 7: Detailed per-class accuracy report
43,"print(classification_report(y_test, y_pred, target_names=le.classes_))"
44,
45,# Step 8: Feature importance (which input matters most)
46,"for feat, imp in zip(feature_cols, model.feature_importances_):"
47,    print(f'  {feat}: {imp:.4f}')
48,
49,# Step 9: Save the trained model to disk
50,"joblib.dump(model, 'crop_model.pkl')"
51,"joblib.dump(le, 'label_encoder.pkl')"

=== TESTING & PREDICTION CODE (app.py - Flask API) ===
Line#,Code
1,import joblib
2,import numpy as np
3,"from flask import Flask, request, jsonify"
4,
5,# Load the saved model and label encoder
6,model = joblib.load('crop_model.pkl')
7,label_encoder = joblib.load('label_encoder.pkl')
8,
9,app = Flask(__name__)
10,
11,"@app.route('/predict', methods=['POST'])"
12,def predict():
13,    data = request.json
14,
15,    # Extract 6 soil parameters from request
16,    features = np.array([[
17,"        data['N'],            # Nitrogen (mg/kg)"
18,"        data['P'],            # Phosphorus (mg/kg)"
19,"        data['K'],            # Potassium (mg/kg)"
20,"        data['temperature'],  # Temperature (Celsius)"
21,"        data['humidity'],     # Humidity / Moisture (%)"
22,"        data['ph'],           # pH level"
23,    ]])
24,
25,    # Get prediction probabilities for all 24 crops
26,    probabilities = model.predict_proba(features)[0]
27,
28,    # Get the top 3 most likely crops
29,    top_3_idx = np.argsort(probabilities)[::-1][:3]
30,    top_3_crops = [
31,        {
32,"            'crop': label_encoder.classes_[idx],"
33,"            'confidence': round(probabilities[idx] * 100, 1)"
34,        }
35,        for idx in top_3_idx
36,    ]
37,
38,    # Best prediction
39,    best_idx = top_3_idx[0]
40,    predicted_crop = label_encoder.classes_[best_idx]
41,"    confidence = round(probabilities[best_idx] * 100, 1)"
42,
43,    return jsonify({
44,"        'success': True,"
45,"        'prediction': {'crop': predicted_crop, 'confidence': confidence},"
46,        'top_3_crops': top_3_crops
47,    })
48,
49,# How accuracy was tested:
50,# 1. Dataset split into 80% training (576 samples) & 20% testing (145 samples)
51,# 2. Model trained on training set only
52,# 3. Model predicted crops for all 145 test samples
53,# 4. Predicted vs actual compared -> 145/145 correct = 100% accuracy
54,"# 5. sklearn.metrics.accuracy_score(y_test, y_pred) = 1.0000"
